"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Visit","Visit.hivTestHivSelfTestUse","Visit.hivTestHivSelfTestUse","","","",0,1,"","","","code {[]} {[]}
","HIV - HIV test: HIV self-test - Use","HIV - HIV test: HIV self-test - Use","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVHIVTestHIVSelfTestUseVS","",,,,"Visit.hivTestHivSelfTestUse",0,1,"",""
"Visit","Visit.prepCurrentlyOnPrep","Visit.prepCurrentlyOnPrep","","","",0,1,"","","","boolean {[]} {[]}
","HIV - PrEP: Currently on PrEP","HIV - PrEP: Currently on PrEP","","","","","","","","","",,,,,"",,,,"Visit.prepCurrentlyOnPrep",0,1,"",""
"Visit","Visit.prepPrepHasBeenRequestedByTheClient","Visit.prepPrepHasBeenRequestedByTheClient","","","",0,1,"","","","boolean {[]} {[]}
","HIV - PrEP: PrEP has been requested by the client","HIV - PrEP: PrEP has been requested by the client","","","","","","","","","",,,,,"",,,,"Visit.prepPrepHasBeenRequestedByTheClient",0,1,"",""
"Visit","Visit.prepExperienceWithPrep","Visit.prepExperienceWithPrep","","","",0,1,"","","","code {[]} {[]}
","HIV - PrEP: Experience with PrEP","HIV - PrEP: Experience with PrEP","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVExperienceVS","",,,,"Visit.prepExperienceWithPrep",0,1,"",""
"Visit","Visit.prepSpecifyOtherExperienceWithPrep","Visit.prepSpecifyOtherExperienceWithPrep","","","",0,1,"","","","string {[]} {[]}
","HIV - PrEP: Specify other experience with PrEP","HIV - PrEP: Specify other experience with PrEP","","","","","","","","","",,,,,"",,,,"Visit.prepSpecifyOtherExperienceWithPrep",0,1,"",""
"Visit","Visit.prepReasonForDiscontinuationInterruption","Visit.prepReasonForDiscontinuationInterruption","","","",0,1,"","","","code {[]} {[]}
","HIV - PrEP: Reason for discontinuation/interruption","HIV - PrEP: Reason for discontinuation/interruption","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVPrepReasonDiscontinuationVS","",,,,"Visit.prepReasonForDiscontinuationInterruption",0,1,"",""
"Visit","Visit.prepSpecifyOtherReasonForDiscontinuation","Visit.prepSpecifyOtherReasonForDiscontinuation","","","",0,1,"","","","string {[]} {[]}
","HIV - PrEP: Specify other reason for discontinuation","HIV - PrEP: Specify other reason for discontinuation","","","","","","","","","",,,,,"",,,,"Visit.prepSpecifyOtherReasonForDiscontinuation",0,1,"",""
"Visit","Visit.prepAdverseEffect","Visit.prepAdverseEffect","","","",0,1,"","","","boolean {[]} {[]}
","HIV - PrEP: Adverse effect experienced","HIV - PrEP: Adverse effect experienced","","","","","","","","","",,,,,"",,,,"Visit.prepAdverseEffect",0,1,"",""
"Visit","Visit.prepSpecifyAdverseEffectPrep","Visit.prepSpecifyAdverseEffectPrep","","","",0,1,"","","","code {[]} {[]}
","HIV - PrEP: Specify adverse effect","HIV - PrEP: Specify adverse effect","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVPrepAdverseEffectVS","",,,,"Visit.prepSpecifyAdverseEffectPrep",0,1,"",""
"Visit","Visit.prepSpecifyOtherAdverseEffect","Visit.prepSpecifyOtherAdverseEffect","","","",0,1,"","","","string {[]} {[]}
","HIV - PrEP: Specify other adverse effect","HIV - PrEP: Specify other adverse effect","","","","","","","","","",,,,,"",,,,"Visit.prepSpecifyOtherAdverseEffect",0,1,"",""
"Visit","Visit.prepPrepDeliveredAdministered","Visit.prepPrepDeliveredAdministered","","","",0,1,"","","","boolean {[]} {[]}
","HIV - PrEP: PrEP delivered/administered","HIV - PrEP: PrEP delivered/administered","","","","","","","","","",,,,,"",,,,"Visit.prepPrepDeliveredAdministered",0,1,"",""
"Visit","Visit.prepDateOfPrepDeliveredAdministered","Visit.prepDateOfPrepDeliveredAdministered","","","",0,1,"","","","date {[]} {[]}
","HIV - PrEP: Date of PrEP delivered/administered","HIV - PrEP: Date of PrEP delivered/administered","","","","","","","","","",,,,,"",,,,"Visit.prepDateOfPrepDeliveredAdministered",0,1,"",""
"Visit","Visit.prepFormulation","Visit.prepFormulation","","","",0,1,"","","","code {[]} {[]}
","HIV - PrEP: Formulation of PrEP delivered","HIV - PrEP: Formulation of PrEP delivered","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVPrepFormulationVS","",,,,"Visit.prepFormulation",0,1,"",""
"Visit","Visit.prepPrepDosingType","Visit.prepPrepDosingType","","","",0,1,"","","","code {[]} {[]}
","HIV - PrEP: dosing type","HIV - PrEP: dosing type","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVPrepDosingTypeVS","",,,,"Visit.prepPrepDosingType",0,1,"",""
"Visit","Visit.prepQuantityDelivered","Visit.prepQuantityDelivered","","","",0,1,"","","","unsignedInt {[]} {[]}
","HIV - PrEP: Volume of PrEP product prescribed/dispensed","HIV - PrEP: Volume of PrEP product prescribed/dispensed","","","","","","","","","",,,,,"",,,,"Visit.prepQuantityDelivered",0,1,"",""
"Visit","Visit.pepTypeOfVisit","Visit.pepTypeOfVisit","","","",0,1,"","","","code {[]} {[]}
","HIV - PEP: Type of visit","HIV - PEP: Type of visit","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVPEPTypeOfVisitVS","",,,,"Visit.pepTypeOfVisit",0,1,"",""
"Visit","Visit.pepInitiationDate","Visit.pepInitiationDate","","","",0,1,"","","","date {[]} {[]}
","HIV - PEP: Initiation date","HIV - PEP: Initiation date","","","","","","","","","",,,,,"",,,,"Visit.pepInitiationDate",0,1,"",""
"Visit","Visit.pepDueDate","Visit.pepDueDate","","","",0,1,"","","","date {[]} {[]}
","HIV - PEP: Due date","HIV - PEP: Due date","","","","","","","","","",,,,,"",,,,"Visit.pepDueDate",0,1,"",""
"Visit","Visit.pepExposure","Visit.pepExposure","","","",0,1,"","","","code {[]} {[]}
","HIV - PEP: Exposure","HIV - PEP: Exposure","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVPEPExposureVS","",,,,"Visit.pepExposure",0,1,"",""
"Visit","Visit.pepNonOccupationalNature","Visit.pepNonOccupationalNature","","","",0,1,"","","","code {[]} {[]}
","HIV - PEP: Non-occupational nature","HIV - PEP: Non-occupational nature","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVPEPNonOccupationalVS","",,,,"Visit.pepNonOccupationalNature",0,1,"",""
"Visit","Visit.pepProphilaxisCorrectlyTaken","Visit.pepProphilaxisCorrectlyTaken","","","",0,1,"","","","boolean {[]} {[]}
","HIV - PEP: Prophilaxis course has been correctly and completely taken","HIV - PEP: Prophilaxis course has been correctly and completely taken","","","","","","","","","",,,,,"",,,,"Visit.pepProphilaxisCorrectlyTaken",0,1,"",""
"Visit","Visit.pepCompletionDate","Visit.pepCompletionDate","","","",0,1,"","","","date {[]} {[]}
","HIV - PEP: Completion date","HIV - PEP: Completion date","","","","","","","","","",,,,,"",,,,"Visit.pepCompletionDate",0,1,"",""
"Visit","Visit.pepLastPepInitiationDate","Visit.pepLastPepInitiationDate","","","",0,1,"","","","date {[]} {[]}
","HIV - PEP: Last PEP initiation date","HIV - PEP: Last PEP initiation date","","","","","","","","","",,,,,"",,,,"Visit.pepLastPepInitiationDate",0,1,"",""
"Visit","Visit.nspAccessToNspService","Visit.nspAccessToNspService","","","",0,1,"","","","boolean {[]} {[]}
","HIV - NSP: Access to NSP service","HIV - NSP: Access to NSP service","","","","","","","","","",,,,,"",,,,"Visit.nspAccessToNspService",0,1,"",""
"Visit","Visit.nspDateOfAccess","Visit.nspDateOfAccess","","","",0,1,"","","","date {[]} {[]}
","HIV - NSP: Date of access","HIV - NSP: Date of access","","","","","","","","","",,,,,"",,,,"Visit.nspDateOfAccess",0,1,"",""
"Visit","Visit.nspRegularAccess","Visit.nspRegularAccess","","","",0,1,"","","","boolean {[]} {[]}
","HIV - NSP: Regular access","HIV - NSP: Regular access","","","","","","","","","",,,,,"",,,,"Visit.nspRegularAccess",0,1,"",""
"Visit","Visit.nspReceivedNeedleSyringes","Visit.nspReceivedNeedleSyringes","","","",0,1,"","","","boolean {[]} {[]}
","HIV - NSP: Received needle/syringes","HIV - NSP: Received needle/syringes","","","","","","","","","",,,,,"",,,,"Visit.nspReceivedNeedleSyringes",0,1,"",""
"Visit","Visit.nspDateNeedlesSyringesReceived","Visit.nspDateNeedlesSyringesReceived","","","",0,1,"","","","date {[]} {[]}
","HIV - NSP: Date needles/syringes received","HIV - NSP: Date needles/syringes received","","","","","","","","","",,,,,"",,,,"Visit.nspDateNeedlesSyringesReceived",0,1,"",""
"Visit","Visit.nspNumberOfNeedlesSyringesProvided","Visit.nspNumberOfNeedlesSyringesProvided","","","",0,1,"","","","unsignedInt {[]} {[]}
","HIV - NSP: Number of needles-syringes provided","HIV - NSP: Number of needles-syringes provided","","","","","","","","","",,,,,"",,,,"Visit.nspNumberOfNeedlesSyringesProvided",0,1,"",""
"Visit","Visit.oamtOpioidDependent","Visit.oamtOpioidDependent","","","",0,1,"","","","boolean {[]} {[]}
","HIV - OAMT: Opioid dependent","HIV - OAMT: Opioid dependent","","","","","","","","","",,,,,"",,,,"Visit.oamtOpioidDependent",0,1,"",""
"Visit","Visit.oamtCurrentlyUnderOamt","Visit.oamtCurrentlyUnderOamt","","","",0,1,"","","","boolean {[]} {[]}
","HIV - OAMT: Currently under OAMT","HIV - OAMT: Currently under OAMT","","","","","","","","","",,,,,"",,,,"Visit.oamtCurrentlyUnderOamt",0,1,"",""
"Visit","Visit.oamtExperienceWithOamt","Visit.oamtExperienceWithOamt","","","",0,1,"","","","code {[]} {[]}
","HIV - OAMT: Experience with OAMT","HIV - OAMT: Experience with OAMT","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVExperienceVS","",,,,"Visit.oamtExperienceWithOamt",0,1,"",""
"Visit","Visit.oamtOamtDispensed","Visit.oamtOamtDispensed","","","",0,1,"","","","boolean {[]} {[]}
","HIV - OAMT: OAMT dispensed","HIV - OAMT: OAMT dispensed","","","","","","","","","",,,,,"",,,,"Visit.oamtOamtDispensed",0,1,"",""
"Visit","Visit.oamtDateOfOamtDispensed","Visit.oamtDateOfOamtDispensed","","","",0,1,"","","","date {[]} {[]}
","HIV - OAMT: Date of OAMT dispensed","HIV - OAMT: Date of OAMT dispensed","","","","","","","","","",,,,,"",,,,"Visit.oamtDateOfOamtDispensed",0,1,"",""
"Visit","Visit.oamtReceivingMaintenanceDose","Visit.oamtReceivingMaintenanceDose","","","",0,1,"","","","boolean {[]} {[]}
","HIV - OAMT: Receiving maintenance dose","HIV - OAMT: Receiving maintenance dose","","","","","","","","","",,,,,"",,,,"Visit.oamtReceivingMaintenanceDose",0,1,"",""
"Visit","Visit.oamtInductedOamtIncreasingDose","Visit.oamtInductedOamtIncreasingDose","","","",0,1,"","","","boolean {[]} {[]}
","HIV - OAMT: Inducted on OAMT and on an increasing dose","HIV - OAMT: Inducted on OAMT and on an increasing dose","","","","","","","","","",,,,,"",,,,"Visit.oamtInductedOamtIncreasingDose",0,1,"",""
"Visit","Visit.oamtReducingOamtTreatmentCompletion","Visit.oamtReducingOamtTreatmentCompletion","","","",0,1,"","","","boolean {[]} {[]}
","HIV - OAMT: Reducing dose of OAMT for managed treatment completion","HIV - OAMT: Reducing dose of OAMT for managed treatment completion","","","","","","","","","",,,,,"",,,,"Visit.oamtReducingOamtTreatmentCompletion",0,1,"",""
"Visit","Visit.oamtOamtFormulation","Visit.oamtOamtFormulation","","","",0,1,"","","","code {[]} {[]}
","HIV - OAMT: OAMT formulation","HIV - OAMT: OAMT formulation","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVOAMTFormulationVS","",,,,"Visit.oamtOamtFormulation",0,1,"",""
"Visit","Visit.oamtQuantityOfDailyDoseDispensedMg","Visit.oamtQuantityOfDailyDoseDispensedMg","","","",0,1,"","","","unsignedInt {[]} {[]}
","HIV - OAMT: Quantity of daily dose dispensed (mg)","HIV - OAMT: Quantity of daily dose dispensed (mg)","","","","","","","","","",,,,,"",,,,"Visit.oamtQuantityOfDailyDoseDispensedMg",0,1,"",""
"Visit","Visit.oamtMultipleDailyDoses","Visit.oamtMultipleDailyDoses","","","",0,1,"","","","boolean {[]} {[]}
","HIV - OAMT: Multiple daily doses","HIV - OAMT: Multiple daily doses","","","","","","","","","",,,,,"",,,,"Visit.oamtMultipleDailyDoses",0,1,"",""
"Visit","Visit.oamtHowManyDailyDosesDispensed","Visit.oamtHowManyDailyDosesDispensed","","","",0,1,"","","","unsignedInt {[]} {[]}
","HIV - OAMT: How many daily doses dispensed?","HIV - OAMT: How many daily doses dispensed?","","","","","","","","","",,,,,"",,,,"Visit.oamtHowManyDailyDosesDispensed",0,1,"",""
"Visit","Visit.oamtRetainedOnOamtFromLastVisit","Visit.oamtRetainedOnOamtFromLastVisit","","","",0,1,"","","","boolean {[]} {[]}
","HIV - OAMT: Retained on OAMT from last visit","HIV - OAMT: Retained on OAMT from last visit","","","","","","","","","",,,,,"",,,,"Visit.oamtRetainedOnOamtFromLastVisit",0,1,"",""
"Visit","Visit.oamtDaysSinceStartThatHasBeRetained","Visit.oamtDaysSinceStartThatHasBeRetained","","","",0,1,"","","","unsignedInt {[]} {[]}
","HIV - OAMT: Days since start that has be retained","HIV - OAMT: Days since start that has be retained","","","","","","","","","",,,,,"",,,,"Visit.oamtDaysSinceStartThatHasBeRetained",0,1,"",""
"Visit","Visit.oamtCumulativeDays","Visit.oamtCumulativeDays","","","",0,1,"","","","unsignedInt {[]} {[]}
","HIV - OAMT: Cumulative days","HIV - OAMT: Cumulative days","","","","","","","","","",,,,,"",,,,"Visit.oamtCumulativeDays",0,1,"",""
"Visit","Visit.oamtLastDayWithOamt","Visit.oamtLastDayWithOamt","","","",0,1,"","","","date {[]} {[]}
","HIV - OAMT: Last day with OAMT","HIV - OAMT: Last day with OAMT","","","","","","","","","",,,,,"",,,,"Visit.oamtLastDayWithOamt",0,1,"",""
"Visit","Visit.vmmcVmmcPerformed","Visit.vmmcVmmcPerformed","","","",0,1,"","","","boolean {[]} {[]}
","HIV - VMMC: VMMC performed","HIV - VMMC: VMMC performed","","","","","","","","","",,,,,"",,,,"Visit.vmmcVmmcPerformed",0,1,"",""
"Visit","Visit.vmmcDateOfVmmcPerformed","Visit.vmmcDateOfVmmcPerformed","","","",0,1,"","","","date {[]} {[]}
","HIV - VMMC: Date of VMMC performed","HIV - VMMC: Date of VMMC performed","","","","","","","","","",,,,,"",,,,"Visit.vmmcDateOfVmmcPerformed",0,1,"",""
"Visit","Visit.vmmcAdverseEventsExperienced","Visit.vmmcAdverseEventsExperienced","","","",0,1,"","","","boolean {[]} {[]}
","HIV - VMMC: Adverse events experienced","HIV - VMMC: Adverse events experienced","","","","","","","","","",,,,,"",,,,"Visit.vmmcAdverseEventsExperienced",0,1,"",""
"Visit","Visit.vmmcTypeOfAdverseEvents1","Visit.vmmcTypeOfAdverseEvents1","","","",0,1,"","","","code {[]} {[]}
","HIV - VMMC: Type of adverse events - 1","HIV - VMMC: Type of adverse events - 1","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVVMMCTypeOfAdverseEventsVS","",,,,"Visit.vmmcTypeOfAdverseEvents1",0,1,"",""
"Visit","Visit.vmmcTypeOfAdverseEvents2","Visit.vmmcTypeOfAdverseEvents2","","","",0,1,"","","","code {[]} {[]}
","HIV - VMMC: Type of adverse events - 2","HIV - VMMC: Type of adverse events - 2","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVVMMCTypeOfAdverseEventsVS","",,,,"Visit.vmmcTypeOfAdverseEvents2",0,1,"",""
"Visit","Visit.vmmcTypeOfAdverseEvents3","Visit.vmmcTypeOfAdverseEvents3","","","",0,1,"","","","code {[]} {[]}
","HIV - VMMC: Type of adverse events - 3","HIV - VMMC: Type of adverse events - 3","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVVMMCTypeOfAdverseEventsVS","",,,,"Visit.vmmcTypeOfAdverseEvents3",0,1,"",""
"Visit","Visit.vmmcTypeOfAdverseEvents4","Visit.vmmcTypeOfAdverseEvents4","","","",0,1,"","","","code {[]} {[]}
","HIV - VMMC: Type of adverse events - 4","HIV - VMMC: Type of adverse events - 4","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVVMMCTypeOfAdverseEventsVS","",,,,"Visit.vmmcTypeOfAdverseEvents4",0,1,"",""
"Visit","Visit.vmmcSeverityOfAdverseEvents","Visit.vmmcSeverityOfAdverseEvents","","","",0,1,"","","","code {[]} {[]}
","HIV - VMMC: Severity of adverse events","HIV - VMMC: Severity of adverse events","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVVMMCSeverityOfAdverseEventsVS","",,,,"Visit.vmmcSeverityOfAdverseEvents",0,1,"",""
"Visit","Visit.vmmcTimingOfAdverseEvents","Visit.vmmcTimingOfAdverseEvents","","","",0,1,"","","","code {[]} {[]}
","HIV - VMMC: Timing of adverse events","HIV - VMMC: Timing of adverse events","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVVMMCTimingOfAdverseEventsVS","",,,,"Visit.vmmcTimingOfAdverseEvents",0,1,"",""
"Visit","Visit.stiSyndrome","Visit.stiSyndrome","","","",0,1,"","","","boolean {[]} {[]}
","HIV - STI: syndrome","HIV - STI: syndrome","","","","","","","","","",,,,,"",,,,"Visit.stiSyndrome",0,1,"",""
"Visit","Visit.stiStiSyndromeDiagnosisDate","Visit.stiStiSyndromeDiagnosisDate","","","",0,1,"","","","date {[]} {[]}
","HIV - STI: STI syndrome diagnosis date","HIV - STI: STI syndrome diagnosis date","","","","","","","","","",,,,,"",,,,"Visit.stiStiSyndromeDiagnosisDate",0,1,"",""
"Visit","Visit.stiSyndromeDiagnosed1","Visit.stiSyndromeDiagnosed1","","","",0,1,"","","","code {[]} {[]}
","HIV - STI syndrome diagnosed - 1","HIV - STI syndrome diagnosed - 1","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVSTISyndromeAssignedVS","",,,,"Visit.stiSyndromeDiagnosed1",0,1,"",""
"Visit","Visit.stiSyndromeDiagnosed2","Visit.stiSyndromeDiagnosed2","","","",0,1,"","","","code {[]} {[]}
","HIV - STI syndrome diagnosed - 2","HIV - STI syndrome diagnosed - 2","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVSTISyndromeAssignedVS","",,,,"Visit.stiSyndromeDiagnosed2",0,1,"",""
"Visit","Visit.stiSyndromeDiagnosed3","Visit.stiSyndromeDiagnosed3","","","",0,1,"","","","code {[]} {[]}
","HIV - STI syndrome diagnosed - 3","HIV - STI syndrome diagnosed - 3","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVSTISyndromeAssignedVS","",,,,"Visit.stiSyndromeDiagnosed3",0,1,"",""
"Visit","Visit.stiSyndromeDiagnosed4","Visit.stiSyndromeDiagnosed4","","","",0,1,"","","","code {[]} {[]}
","HIV - STI syndrome diagnosed - 4","HIV - STI syndrome diagnosed - 4","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVSTISyndromeAssignedVS","",,,,"Visit.stiSyndromeDiagnosed4",0,1,"",""
"Visit","Visit.stiSyndromeDiagnosedOther","Visit.stiSyndromeDiagnosedOther","","","",0,1,"","","","string {[]} {[]}
","HIV - STI syndrome diagnosed - Other","HIV - STI syndrome diagnosed - Other","","","","","","","","","",,,,,"",,,,"Visit.stiSyndromeDiagnosedOther",0,1,"",""
"Visit","Visit.stiUrethralDischargeSyndromeLastDxDate","Visit.stiUrethralDischargeSyndromeLastDxDate","","","",0,1,"","","","date {[]} {[]}
","HIV - STI: Urethral discharge syndrome last diagnosis date","HIV - STI: Urethral discharge syndrome last diagnosis date","","","","","","","","","",,,,,"",,,,"Visit.stiUrethralDischargeSyndromeLastDxDate",0,1,"",""
"Visit","Visit.stiVaginalDischargeSyndromeLastDxDate","Visit.stiVaginalDischargeSyndromeLastDxDate","","","",0,1,"","","","date {[]} {[]}
","HIV - STI: Vaginal discharge syndrome last diagnosis date","HIV - STI: Vaginal discharge syndrome last diagnosis date","","","","","","","","","",,,,,"",,,,"Visit.stiVaginalDischargeSyndromeLastDxDate",0,1,"",""
"Visit","Visit.stiLowerAbdominalPainLastDxDate","Visit.stiLowerAbdominalPainLastDxDate","","","",0,1,"","","","date {[]} {[]}
","HIV - STI: Lower abdominal pain last diagnosis date","HIV - STI: Lower abdominal pain last diagnosis date","","","","","","","","","",,,,,"",,,,"Visit.stiLowerAbdominalPainLastDxDate",0,1,"",""
"Visit","Visit.stiGenitalUlcerDiseaseSyndromeLastDxDate","Visit.stiGenitalUlcerDiseaseSyndromeLastDxDate","","","",0,1,"","","","date {[]} {[]}
","HIV - STI: Genital ulcer disease syndrome last diagnosis date","HIV - STI: Genital ulcer disease syndrome last diagnosis date","","","","","","","","","",,,,,"",,,,"Visit.stiGenitalUlcerDiseaseSyndromeLastDxDate",0,1,"",""
"Visit","Visit.stiAnorectalDischargeLastDxDate","Visit.stiAnorectalDischargeLastDxDate","","","",0,1,"","","","date {[]} {[]}
","HIV - STI: Anorectal discharge last diagnosis date","HIV - STI: Anorectal discharge last diagnosis date","","","","","","","","","",,,,,"",,,,"Visit.stiAnorectalDischargeLastDxDate",0,1,"",""
"Visit","Visit.stiTested","Visit.stiTested","","","",0,1,"","","","boolean {[]} {[]}
","HIV - STI: tested","HIV - STI: tested","","","","","","","","","",,,,,"",,,,"Visit.stiTested",0,1,"",""
"Visit","Visit.stiTested1","Visit.stiTested1","","","",0,1,"","","","code {[]} {[]}
","HIV - STI: tested - 1","HIV - STI: tested - 1","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVListStisVS","",,,,"Visit.stiTested1",0,1,"",""
"Visit","Visit.stiTested2","Visit.stiTested2","","","",0,1,"","","","code {[]} {[]}
","HIV - STI: tested - 2","HIV - STI: tested - 2","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVListStisVS","",,,,"Visit.stiTested2",0,1,"",""
"Visit","Visit.stiTested3","Visit.stiTested3","","","",0,1,"","","","code {[]} {[]}
","HIV - STI: tested - 3","HIV - STI: tested - 3","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVListStisVS","",,,,"Visit.stiTested3",0,1,"",""
"Visit","Visit.stiSyphilisTestDate","Visit.stiSyphilisTestDate","","","",0,1,"","","","date {[]} {[]}
","HIV - STI: Syphilis - test date","HIV - STI: Syphilis - test date","","","","","","","","","",,,,,"",,,,"Visit.stiSyphilisTestDate",0,1,"",""
"Visit","Visit.stiSyphilisTestResult","Visit.stiSyphilisTestResult","","","",0,1,"","","","code {[]} {[]}
","HIV - STI: Syphilis - test result","HIV - STI: Syphilis - test result","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVTestResultVS","",,,,"Visit.stiSyphilisTestResult",0,1,"",""
"Visit","Visit.stiSyphilisTreatmentAdministered","Visit.stiSyphilisTreatmentAdministered","","","",0,1,"","","","boolean {[]} {[]}
","HIV - STI: Syphilis - treatment administered","HIV - STI: Syphilis - treatment administered","","","","","","","","","",,,,,"",,,,"Visit.stiSyphilisTreatmentAdministered",0,1,"",""
"Visit","Visit.stiGonorrhoeaTestDate","Visit.stiGonorrhoeaTestDate","","","",0,1,"","","","date {[]} {[]}
","HIV - STI: Gonorrhoea - test date","HIV - STI: Gonorrhoea - test date","","","","","","","","","",,,,,"",,,,"Visit.stiGonorrhoeaTestDate",0,1,"",""
"Visit","Visit.stiGonorrhoeaTestResult","Visit.stiGonorrhoeaTestResult","","","",0,1,"","","","code {[]} {[]}
","HIV - STI: Gonorrhoea - test result","HIV - STI: Gonorrhoea - test result","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVTestResultVS","",,,,"Visit.stiGonorrhoeaTestResult",0,1,"",""
"Visit","Visit.stiGonorrhoeaTreatmentAdministered","Visit.stiGonorrhoeaTreatmentAdministered","","","",0,1,"","","","boolean {[]} {[]}
","HIV - STI: Gonorrhoea - treatment administered","HIV - STI: Gonorrhoea - treatment administered","","","","","","","","","",,,,,"",,,,"Visit.stiGonorrhoeaTreatmentAdministered",0,1,"",""
"Visit","Visit.stiChlamydiaTestDate","Visit.stiChlamydiaTestDate","","","",0,1,"","","","date {[]} {[]}
","HIV - STI: Chlamydia - test date","HIV - STI: Chlamydia - test date","","","","","","","","","",,,,,"",,,,"Visit.stiChlamydiaTestDate",0,1,"",""
"Visit","Visit.stiChlamydiaTestResult","Visit.stiChlamydiaTestResult","","","",0,1,"","","","code {[]} {[]}
","HIV - STI: Chlamydia - test result","HIV - STI: Chlamydia - test result","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVTestResultVS","",,,,"Visit.stiChlamydiaTestResult",0,1,"",""
"Visit","Visit.stiChlamydiaTreatmentAdministered","Visit.stiChlamydiaTreatmentAdministered","","","",0,1,"","","","boolean {[]} {[]}
","HIV - STI: Chlamydia - treatment administered","HIV - STI: Chlamydia - treatment administered","","","","","","","","","",,,,,"",,,,"Visit.stiChlamydiaTreatmentAdministered",0,1,"",""
"Visit","Visit.viralHepatitisHbsagTestPerformed","Visit.viralHepatitisHbsagTestPerformed","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Viral Hepatitis: HBsAg test performed","HIV - Viral Hepatitis: HBsAg test performed","","","","","","","","","",,,,,"",,,,"Visit.viralHepatitisHbsagTestPerformed",0,1,"",""
"Visit","Visit.viralHepatitisHbsagTestDate","Visit.viralHepatitisHbsagTestDate","","","",0,1,"","","","date {[]} {[]}
","HIV - Viral Hepatitis: HBsAg test date","HIV - Viral Hepatitis: HBsAg test date","","","","","","","","","",,,,,"",,,,"Visit.viralHepatitisHbsagTestDate",0,1,"",""
"Visit","Visit.viralHepatitisHbsagTestResult","Visit.viralHepatitisHbsagTestResult","","","",0,1,"","","","code {[]} {[]}
","HIV - Viral Hepatitis: HBsAg test result","HIV - Viral Hepatitis: HBsAg test result","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVViralHepatitisTestResultVS","",,,,"Visit.viralHepatitisHbsagTestResult",0,1,"",""
"Visit","Visit.viralHepatitisHcvTestPerformed","Visit.viralHepatitisHcvTestPerformed","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Viral Hepatitis: HCV test performed","HIV - Viral Hepatitis: HCV test performed","","","","","","","","","",,,,,"",,,,"Visit.viralHepatitisHcvTestPerformed",0,1,"",""
"Visit","Visit.viralHepatitisHcvTestType","Visit.viralHepatitisHcvTestType","","","",0,1,"","","","code {[]} {[]}
","HIV - Viral Hepatitis: HCV test type","HIV - Viral Hepatitis: HCV test type","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVHCVTestTypeVS","",,,,"Visit.viralHepatitisHcvTestType",0,1,"",""
"Visit","Visit.viralHepatitisHcvTestDate","Visit.viralHepatitisHcvTestDate","","","",0,1,"","","","date {[]} {[]}
","HIV - Viral Hepatitis: HCV test date","HIV - Viral Hepatitis: HCV test date","","","","","","","","","",,,,,"",,,,"Visit.viralHepatitisHcvTestDate",0,1,"",""
"Visit","Visit.viralHepatitisHcvTestResult","Visit.viralHepatitisHcvTestResult","","","",0,1,"","","","code {[]} {[]}
","HIV - Viral Hepatitis: HCV test result","HIV - Viral Hepatitis: HCV test result","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVViralHepatitisTestResultVS","",,,,"Visit.viralHepatitisHcvTestResult",0,1,"",""
